X,Y
980000,5790000
1000000,5790000
1020000,5790000
980000,5810000
1000000,5810000
1020000,5810000
960000,5830000
980000,5830000
1000000,5830000
1020000,5830000
940000,5850000
960000,5850000
980000,5850000
1000000,5850000
1020000,5850000
940000,5870000
960000,5870000
980000,5870000
1000000,5870000
1020000,5870000
940000,5890000
960000,5890000
980000,5890000
1000000,5890000
1020000,5890000
940000,5910000
960000,5910000
980000,5910000
1000000,5910000
1020000,5910000
940000,5930000
960000,5930000
980000,5930000
1000000,5930000
1020000,5930000
940000,5950000
960000,5950000
980000,5950000
1000000,5950000
1020000,5950000
940000,5970000
960000,5970000
980000,5970000
1000000,5970000
1020000,5970000
920000,5990000
940000,5990000
960000,5990000
980000,5990000
1000000,5990000
1020000,5990000
720000,6010000
920000,6010000
940000,6010000
960000,6010000
980000,6010000
1000000,6010000
1020000,6010000
640000,6030000
660000,6030000
680000,6030000
700000,6030000
720000,6030000
740000,6030000
760000,6030000
780000,6030000
900000,6030000
920000,6030000
940000,6030000
960000,6030000
980000,6030000
1000000,6030000
1020000,6030000
680000,6050000
700000,6050000
720000,6050000
880000,6050000
900000,6050000
920000,6050000
940000,6050000
960000,6050000
980000,6050000
1000000,6050000
1020000,6050000
1040000,6050000
800000,6070000
820000,6070000
840000,6070000
860000,6070000
880000,6070000
900000,6070000
920000,6070000
940000,6070000
960000,6070000
980000,6070000
1000000,6070000
1020000,6070000
1040000,6070000
820000,6090000
840000,6090000
860000,6090000
880000,6090000
900000,6090000
920000,6090000
940000,6090000
960000,6090000
980000,6090000
1000000,6090000
1020000,6090000
1040000,6090000
680000,6110000
700000,6110000
740000,6110000
820000,6110000
840000,6110000
860000,6110000
880000,6110000
900000,6110000
920000,6110000
940000,6110000
960000,6110000
980000,6110000
1000000,6110000
1020000,6110000
1040000,6110000
700000,6130000
720000,6130000
740000,6130000
820000,6130000
840000,6130000
860000,6130000
880000,6130000
900000,6130000
920000,6130000
940000,6130000
960000,6130000
980000,6130000
1000000,6130000
1020000,6130000
1040000,6130000
560000,6150000
740000,6150000
760000,6150000
840000,6150000
860000,6150000
880000,6150000
900000,6150000
920000,6150000
940000,6150000
960000,6150000
980000,6150000
1000000,6150000
1020000,6150000
1040000,6150000
560000,6170000
580000,6170000
740000,6170000
760000,6170000
820000,6170000
840000,6170000
860000,6170000
880000,6170000
900000,6170000
920000,6170000
940000,6170000
960000,6170000
980000,6170000
1000000,6170000
1020000,6170000
1040000,6170000
540000,6190000
560000,6190000
580000,6190000
600000,6190000
740000,6190000
760000,6190000
800000,6190000
820000,6190000
840000,6190000
860000,6190000
880000,6190000
900000,6190000
920000,6190000
940000,6190000
960000,6190000
980000,6190000
1000000,6190000
1020000,6190000
1040000,6190000
540000,6210000
560000,6210000
580000,6210000
600000,6210000
740000,6210000
760000,6210000
800000,6210000
820000,6210000
840000,6210000
860000,6210000
880000,6210000
900000,6210000
920000,6210000
940000,6210000
960000,6210000
980000,6210000
1000000,6210000
1020000,6210000
1040000,6210000
540000,6230000
560000,6230000
580000,6230000
600000,6230000
620000,6230000
740000,6230000
760000,6230000
780000,6230000
800000,6230000
820000,6230000
840000,6230000
860000,6230000
880000,6230000
900000,6230000
920000,6230000
940000,6230000
960000,6230000
980000,6230000
1000000,6230000
1020000,6230000
1040000,6230000
520000,6250000
540000,6250000
560000,6250000
580000,6250000
600000,6250000
620000,6250000
640000,6250000
760000,6250000
780000,6250000
800000,6250000
820000,6250000
840000,6250000
860000,6250000
880000,6250000
900000,6250000
920000,6250000
940000,6250000
960000,6250000
980000,6250000
1000000,6250000
1020000,6250000
1040000,6250000
500000,6270000
520000,6270000
540000,6270000
560000,6270000
580000,6270000
600000,6270000
620000,6270000
640000,6270000
660000,6270000
700000,6270000
780000,6270000
800000,6270000
820000,6270000
840000,6270000
860000,6270000
880000,6270000
900000,6270000
920000,6270000
940000,6270000
960000,6270000
980000,6270000
1000000,6270000
1020000,6270000
1040000,6270000
500000,6290000
520000,6290000
540000,6290000
560000,6290000
580000,6290000
600000,6290000
620000,6290000
640000,6290000
660000,6290000
680000,6290000
700000,6290000
780000,6290000
800000,6290000
820000,6290000
840000,6290000
860000,6290000
880000,6290000
900000,6290000
920000,6290000
940000,6290000
960000,6290000
980000,6290000
1000000,6290000
1020000,6290000
1040000,6290000
500000,6310000
520000,6310000
540000,6310000
560000,6310000
580000,6310000
600000,6310000
620000,6310000
640000,6310000
660000,6310000
680000,6310000
700000,6310000
720000,6310000
780000,6310000
800000,6310000
820000,6310000
840000,6310000
860000,6310000
880000,6310000
900000,6310000
920000,6310000
940000,6310000
960000,6310000
980000,6310000
1000000,6310000
1020000,6310000
1040000,6310000
480000,6330000
500000,6330000
520000,6330000
540000,6330000
560000,6330000
580000,6330000
600000,6330000
620000,6330000
640000,6330000
660000,6330000
680000,6330000
700000,6330000
720000,6330000
780000,6330000
800000,6330000
820000,6330000
840000,6330000
860000,6330000
880000,6330000
900000,6330000
920000,6330000
940000,6330000
960000,6330000
980000,6330000
1000000,6330000
1020000,6330000
1040000,6330000
1060000,6330000
440000,6350000
460000,6350000
480000,6350000
500000,6350000
520000,6350000
540000,6350000
560000,6350000
580000,6350000
600000,6350000
620000,6350000
640000,6350000
660000,6350000
680000,6350000
700000,6350000
720000,6350000
740000,6350000
780000,6350000
800000,6350000
820000,6350000
840000,6350000
860000,6350000
880000,6350000
900000,6350000
920000,6350000
940000,6350000
960000,6350000
980000,6350000
1000000,6350000
1020000,6350000
1040000,6350000
1060000,6350000
420000,6370000
440000,6370000
460000,6370000
480000,6370000
500000,6370000
520000,6370000
540000,6370000
560000,6370000
580000,6370000
600000,6370000
620000,6370000
640000,6370000
660000,6370000
680000,6370000
700000,6370000
720000,6370000
740000,6370000
760000,6370000
780000,6370000
800000,6370000
820000,6370000
840000,6370000
860000,6370000
880000,6370000
900000,6370000
920000,6370000
940000,6370000
960000,6370000
980000,6370000
1000000,6370000
1020000,6370000
1040000,6370000
1060000,6370000
440000,6390000
460000,6390000
480000,6390000
500000,6390000
520000,6390000
540000,6390000
560000,6390000
580000,6390000
600000,6390000
620000,6390000
640000,6390000
660000,6390000
680000,6390000
700000,6390000
720000,6390000
740000,6390000
780000,6390000
800000,6390000
820000,6390000
840000,6390000
860000,6390000
880000,6390000
900000,6390000
920000,6390000
940000,6390000
960000,6390000
980000,6390000
1000000,6390000
1020000,6390000
1040000,6390000
1060000,6390000
400000,6410000
420000,6410000
440000,6410000
460000,6410000
480000,6410000
500000,6410000
520000,6410000
540000,6410000
560000,6410000
580000,6410000
600000,6410000
620000,6410000
640000,6410000
660000,6410000
680000,6410000
700000,6410000
720000,6410000
740000,6410000
760000,6410000
780000,6410000
800000,6410000
820000,6410000
840000,6410000
860000,6410000
880000,6410000
900000,6410000
920000,6410000
940000,6410000
960000,6410000
980000,6410000
1000000,6410000
1020000,6410000
1040000,6410000
1060000,6410000
400000,6430000
420000,6430000
440000,6430000
460000,6430000
480000,6430000
500000,6430000
520000,6430000
540000,6430000
560000,6430000
580000,6430000
600000,6430000
620000,6430000
640000,6430000
660000,6430000
680000,6430000
700000,6430000
720000,6430000
740000,6430000
760000,6430000
780000,6430000
800000,6430000
820000,6430000
840000,6430000
860000,6430000
880000,6430000
900000,6430000
920000,6430000
940000,6430000
960000,6430000
980000,6430000
1000000,6430000
1020000,6430000
1040000,6430000
1060000,6430000
320000,6450000
340000,6450000
360000,6450000
380000,6450000
400000,6450000
420000,6450000
440000,6450000
460000,6450000
480000,6450000
500000,6450000
520000,6450000
540000,6450000
560000,6450000
580000,6450000
600000,6450000
620000,6450000
640000,6450000
660000,6450000
680000,6450000
700000,6450000
720000,6450000
740000,6450000
760000,6450000
780000,6450000
800000,6450000
820000,6450000
840000,6450000
860000,6450000
880000,6450000
900000,6450000
920000,6450000
940000,6450000
960000,6450000
980000,6450000
1000000,6450000
