AlOH_group_composition_grayscale_mean,AlOH_group_composition_grayscale_std,AlOH_group_composition_grayscale_dissimilarity,AlOH_group_composition_grayscale_correlation,AlOH_group_content_grayscale_mean,AlOH_group_content_grayscale_std,AlOH_group_content_grayscale_dissimilarity,AlOH_group_content_grayscale_correlation,FeOH_group_content_grayscale_mean,FeOH_group_content_grayscale_std,FeOH_group_content_grayscale_dissimilarity,FeOH_group_content_grayscale_correlation,Ferric_oxide_composition_grayscale_mean,Ferric_oxide_composition_grayscale_std,Ferric_oxide_composition_grayscale_dissimilarity,Ferric_oxide_composition_grayscale_correlation,Ferric_oxide_content_grayscale_mean,Ferric_oxide_content_grayscale_std,Ferric_oxide_content_grayscale_dissimilarity,Ferric_oxide_content_grayscale_correlation,Ferrous_iron_content_in_MgOH_grayscale_mean,Ferrous_iron_content_in_MgOH_grayscale_std,Ferrous_iron_content_in_MgOH_grayscale_dissimilarity,Ferrous_iron_content_in_MgOH_grayscale_correlation,Ferrous_iron_index_grayscale_mean,Ferrous_iron_index_grayscale_std,Ferrous_iron_index_grayscale_dissimilarity,Ferrous_iron_index_grayscale_correlation,Green_vegetation_content_grayscale_mean,Green_vegetation_content_grayscale_std,Green_vegetation_content_grayscale_dissimilarity,Green_vegetation_content_grayscale_correlation,Kaolin_group_index_grayscale_mean,Kaolin_group_index_grayscale_std,Kaolin_group_index_grayscale_dissimilarity,Kaolin_group_index_grayscale_correlation,MgOH_group_composition_grayscale_mean,MgOH_group_composition_grayscale_std,MgOH_group_composition_grayscale_dissimilarity,MgOH_group_composition_grayscale_correlation,MgOH_group_content_grayscale_mean,MgOH_group_content_grayscale_std,MgOH_group_content_grayscale_dissimilarity,MgOH_group_content_grayscale_correlation,Opaque_index_grayscale_mean,Opaque_index_grayscale_std,Opaque_index_grayscale_dissimilarity,Opaque_index_grayscale_correlation,Quartz_index_grayscale_mean,Quartz_index_grayscale_std,Quartz_index_grayscale_dissimilarity,Quartz_index_grayscale_correlation,Silica_index_grayscale_mean,Silica_index_grayscale_std,Silica_index_grayscale_dissimilarity,Silica_index_grayscale_correlation
0.72803998,2.452689648,0.392460465,0.062123107,0.606845498,2.77858305,0.715950287,0.069677802,1.582211614,10.24393272,2.940344358,0.129944031,15.64567757,26.62896347,20.51132582,0.62223119,30.29656219,52.44971848,25.55034477,0.624569232,0.980656683,0.210696369,0.579462406,0.1981731,0.544003189,2.776296854,0.963194186,0.124154152,81.55532074,54.0896759,27.25587349,0.731391468,3.571152449,20.81169128,6.03592221,0.260261286,0.883794665,8.252621651,1.743804451,0.124022154,0.558814645,4.600466728,1.01360915,0.086312156,4.686328888,18.12825203,7.823485693,0.176707349,4.827453613,13.87390041,14.8404304,0.051268284,0.590854943,4.171000957,3.092490842,0.017236163
0.040268455,0.196588159,0.446558487,0.045205111,1,0,0.644337091,0.10189931,2.84563756,11.64907742,2.128717123,0.113481363,29.01342201,31.11485291,37.93363062,0.44419434,51.65771866,53.51243973,42.24963871,0.469603031,0.979865789,0.140459388,1.033948553,0.175932342,0,0,1.053321772,0.381961466,73.91946411,30.89830017,33.06240555,0.490897331,3.067114115,17.42352867,3.027044882,0.154138235,3.28859067,14.67833805,2.381766382,0.096935344,2.147650957,11.70692158,1.541260993,0.129259671,0.389261752,0.487582862,3.415136876,0.327307127,4.199999809,3.655133486,15.94520757,0.032681554,0.200000003,0.400000006,2.7621337,0.009591831
0.800000012,0.400000036,0.177428651,0.042250946,0.800000012,0.400000036,0.34908519,0.019942608,0,0,1.665069249,0.087513681,0,0,6.603725112,0.614105316,0,0,7.861271676,0.706939353,1,0,0.496409927,0.14612992,1,0,1.70373664,0.139214588,102.8000031,13.61469841,29.33162887,0.572795518,0.800000012,0.400000036,1.839352469,0.101866329,1,0,0.733354742,0.046979389,1,0,1.390972119,0.067578997,1.799999952,1.46969378,9.437181957,0.142358549,2,2.097617626,10.02861722,0.124019354,1,0,13.23580586,0.273263524
0,0,0.524389234,0.031446271,1,0,0.561979296,0.035772894,0.600000024,0.489897937,9.078385093,0.199006331,2,1.414213538,37.65939545,0.460428814,1.799999952,1.166190386,41.64751967,0.505300663,0,0,1.865101449,0.210572261,1,0,1.285681159,0.449387677,111.5999985,49.76987076,42.35709317,0.479316491,1.200000048,0.400000006,14.00788406,0.236563019,0,0,11.4052588,0.191325684,0,0,6.285515528,0.186567484,1,0.89442718,9.339958592,0.29968153,50.79999924,55.7580452,8.255494505,0.102889167,0,0,2.033348596,0.256368168
0,0,0.295378882,0.066404051,0.600000024,0.489897937,0.250782609,0.067213712,1,0,0.970732919,0.025901609,0,0,12.0606294,0.494278789,1.399999976,0.489897937,10.41889027,0.512939454,1,0,0.143751553,0.112306666,0,0,0.14042236,0.24505321,159.8000031,41.07748795,24.67613251,0.376730999,0.600000024,0.489897937,1.008530021,0.026425765,0,0,0.420405797,0.028630042,0.400000006,0.489897966,0.873440994,0.02819323,27,31.57213974,8.493515528,0.094746296,0,0,12.62423687,0.072579877,0,0,4.214362027,0.260740825
1,0,0.338769612,0.013085602,1,0,0.329421965,0.016964913,0,0,0.180412882,0.021395196,0,0,5.016209744,0.462784735,0,0,4.980718415,0.498267892,1,0,0.115706028,0.192663298,0.800000012,0.400000036,0.44283237,0.145420995,126.8000031,0.400000006,8.359364162,0.476155917,1,0,0.230957886,0.028100435,1,0,0.098604459,0.058574891,0,0,0.213385632,0.035721683,14.39999962,20.5192585,13.02487201,0.193741545,2,1.095445156,11.23588217,0.069785616,0.600000024,0.800000012,8.633547009,0.187085711
1,0,0.610115607,0.021391911,1,0,0.573435178,0.020379331,0,0,2.591568951,0.123265427,0,0,16.78224608,0.596112224,1.200000048,0.748331487,17.59246078,0.624105219,1,0,0.807770438,0.258585769,0,0,0.399554088,0.245910108,123.8000031,3.059411764,36.02663914,0.496382064,0,0,3.558761354,0.132067045,0.800000012,0.400000006,3.352815855,0.115954752,0,0,2.613047069,0.098166645,5.800000191,7.222187996,16.18130471,0.259287603,0.600000024,0.800000012,5.100370622,0.042498269,1,0,0.826185614,-0.003649978
0.600000024,0.489897937,0.713242236,0.075008546,1.200000048,1.46969378,1.120405797,0.103496053,0.200000003,0.400000006,1.82294824,0.22643667,0.200000003,0.400000006,16.21488199,0.555132233,0.600000024,1.200000048,16.78209524,0.60193988,1,0,0.516811594,0.394029323,0,0,0.564687371,0.2112791,126,1.673320055,26.16159006,0.532746295,1,0.632455528,2.534335404,0.237618486,0.600000024,0.489897937,1.830559006,0.232702623,0.800000012,0.400000006,1.426699793,0.176813497,0.600000024,0.489897937,10.78550725,0.200620708,0.400000006,0.489897966,7.080815018,0.050888443,0,0,4.767246642,0.034548569
0,0,0.553175983,0.046342643,0,0,0.701200828,0.069719626,0,0,0.559585921,0.151033547,33.79999924,34.9021492,47.66882816,0.331194913,32.40000153,40.00799942,47.22496894,0.348238098,1,0,0.239254658,0.319192788,0,0,0.454989648,0.210184701,66.80000305,17.72455978,36.30360248,0.31450334,0,0,0.665283644,0.188790449,0,0,0.53047619,0.083228543,0,0,0.524902692,0.125097579,1.399999976,0.489897937,4.846691511,0.198554761,12.39999962,20.34305763,12.65537241,0.030943406,0.400000006,0.489897966,2.527777778,0.094952753
1,0,0.571568951,0.103428473,1,0,0.600578035,0.060912213,1,0,0.663327828,0.023035715,0,0,2.490900083,0.576521537,1,0,2.416085879,0.609972306,1,0,0.174549959,0.2118975,0,0,0.297506193,0.080208955,125.5999985,0.489897966,13.96485549,0.34510416,0,0,0.647423617,0.023208535,1,0,0.14985962,0.021328785,0,0,0.493443435,0.016972221,0.800000012,0.748331547,6.740933113,0.109688619,0,0,6.914758852,0.133768209,1,0,9.217338217,0.322496644
