Archaean - Early Mesoproterozoic polygons,Late Mesoproterozoic polygons,Middle Mesoproterozoic polygons,Neoproterozoic - Ordovician polygons
Iron formation,Null,Null,Null
Deformed gabbro to granite of the Kararan Orogeny and earlier transitional Kimban-Kararan events,Null,Null,Null
Deformed gabbro to granite of the Kararan Orogeny and earlier transitional Kimban-Kararan events,Null,Null,Null
"Anorthosite, gabbro, diorite; uncertain age",Null,Null,Null
"Paragneiss, granitic orthogneiss, iron formation, mafic granulite",Null,Null,Null
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Massive gneiss and granulite, mainly meta-igneous; may include charnockite/migmatite alteration of layered granulite; weakly to moderately magnetic",Null,Null
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Granitoid plutons and phases of larger plutons, non-magnetic to moderately magnetic",Null,Null
Inferred Palaeoproterozoic-early Mesoproterozoic protolith/basement to Fregon Subdomain,"Massive to weakly layered mafic to ultramafic rocks, commonly basal to layered sills; non-magnetic to weakly magnetic",Null,Null
"Paragneiss, granitic orthogneiss, iron formation, mafic granulite",Null,Null,Null
"Paragneiss, granitic orthogneiss, iron formation, mafic granulite",Null,Null,Null
"Paragneiss, granitic orthogneiss, iron formation, mafic granulite",Null,Null,Null
