Faults,Archaean - Early Mesoproterozoic polygons_Contact,Late Mesoproterozoic polygons_Contact,Middle Mesoproterozoic polygons_Contact,Neoproterozoic - Ordovician polygons_Contact,Archaean to early Mesoproterozoic geological provinces_Contact,Cainozoic geological provinces_Contact,Cambrian to late Carboniferous geological provinces_Contact,Jurassic to Cretaceous geolgocial provinces_Contact,Late Carboniferous to Triassic geological provinces_Contact,Middle to late Mesoproterozoic geoglocial provinces_Contact,Neoproterozoic geolgoical provinces_Contact,Res_C1,Res_C2,Res_C3,Res_C4,Res_C5,Res_C6,Res_C7,Res_C8,Res_C9,Res_C10,Res_C11
1387.71,272.2,554593.68,115681.04,17594.44,184043.93,8075.73,122836.38,17400.63,17400.63,115681.1,17594.44,-0.8225292336587161,5.093756061363737,-0.8206092992480374,-3.7770202794579992,0.6999638063183513,-3.218989106483804,-0.9661865509947593,-0.1319702248483867,-0.7115366113679769,0.6403956419465976,-0.4610606550471727
1179.88,4456.12,221319.68,133644.63,17571.42,203989.35,15169.17,100629.25,44578.11,47769.66,133644.59,100629.25,6.943613500737988,-2.1837077613005187,1.5204624181227708,-2.8912935166876617,-0.1904449887581006,-0.7245657103801835,1.5547485644223236,-0.0597681175168733,-0.2744835544459733,0.0497765522442836,0.1401614463285298
3225.33,2103.35,171936.57,246767.03,4179.84,161404.6,23609.73,155187.99,136751.8,147270.82,246776.75,130273.69,3.507491790586636,1.331778197090994,1.2622866132860315,-0.7759539206027871,-2.748540523936989,0.2993941003719783,0.1133910707931024,0.3544790006376791,-0.1759967931567123,-0.4909365519383483,0.358708806067625
10143.46,1398.6,276429.46,46750.85,10681.28,267222.91,38327.74,92034.15,46402.35,31351.81,46750.8,92034.15,16.77615556603763,-6.556997729827538,-1.4543389381899052,1.4659073360107966,2.582974909692071,0.2429061858871223,1.8662489260191488,0.1336863122173599,-1.1389961060971834,-0.0352713340853398,0.5362120566024041
7302.15,11705.81,514941.16,207428.31,33592.64,140526.51,21964.75,179405.19,27083.63,27083.63,207222.25,33592.64,1.7825983070105156,4.431256492943215,0.4849380706244326,-1.9376824750387904,1.5462766757898496,2.51235092771304,-3.6267455027996927,1.5257332385014353,-1.5170793079827665,-2.172287028742033,-0.4744656616038216
391.39,5136.13,534.48,374069.75,534.48,27280.24,7793.88,2894.64,11849.75,59109.36,5145.31,4935.04,0.6482421351798484,3.405620895055037,-1.212435653223822,-1.0099745881092212,-1.2126396051600248,-0.6100980371472986,-0.3153112555232387,-0.0646778625964818,0.1494192623423032,0.3505114643718341,0.2578659289095609
5946.77,31219.28,498.78,397633.66,498.78,67810.64,38139.76,25706.53,84826.62,35699.52,31219.28,30474.67,4.314107781684768,-0.9713231493479332,0.1737947975275532,-1.5610464824199544,-0.746042242613807,-0.2563220649152876,-0.1422968614582538,-0.0337444599011029,-0.2530547830128553,0.2636738158827575,0.1505380273018489
1291.22,13180.79,820.5,561766.4,2639.86,230169.18,2477.3,49121.12,275961.75,173119.65,35332.15,131145.72,2.594473217211495,0.2450070899113229,0.4866716002139604,-1.3639976551840725,-0.0742951752736634,-0.2678411677839206,0.1696823335614803,-0.1523461166014303,0.0221331184082955,0.091482088174264,0.073319618076214
1636.18,1459.72,161575.77,197526.97,5033.37,134133.71,15667.25,28837.21,87223.06,40797.33,197526.93,28837.21,8.189423975804766,-2.704055590920055,-0.3961021293409817,0.3876659591717846,0.588805136536987,0.6615384606973613,-0.3112171904895443,-0.4648996945887111,-0.0754143162729249,-0.0398913337835591,0.0216888549403979
1045.26,1021.95,169486.86,172758.71,7151.9,157544.74,13296.13,34466.8,58330.06,40971.08,172758.67,34466.8,4.869214669608503,-0.1451532929278681,4.298165374174679,-2.2892551265103345,1.7888715235417036,2.8261058577010045,-1.0808971128089402,0.9494573421319203,0.5548579121295624,0.1397092463160529,0.1012972640516162
480.71,580.76,161779.12,199902.99,1980.52,132251.09,12943.63,29869.43,90511.44,41562.33,199902.95,29869.43,8.189423975804766,-2.704055590920055,-0.3961021293409817,0.3876659591717846,0.588805136536987,0.6615384606973613,-0.3112171904895443,-0.4648996945887111,-0.0754143162729249,-0.0398913337835591,0.0216888549403979
