Archaean - Early Mesoproterozoic polygons,Late Mesoproterozoic polygons,Middle Mesoproterozoic polygons,Neoproterozoic - Ordovician polygons
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Possible volcanic rocks; intercalated with Kanmantoo Group metasediments
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Pre/syn-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Mafic volcanic rocks; intercalated with Kanmantoo Group metasediments
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Cambro-Ordovician metasediments, including Kanmantoo Group?"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Pre/syn-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Cambro-Ordovician metasediments, including Kanmantoo Group?"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Late/post-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Cambro-Ordovician metasediments, including Kanmantoo Group?"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
"Gneissic gabbronorite, charnockite and alkali-feldspar granite and mafic dykes",Null,Null,"Shallow marine mudstone, sandstone and conglomerate"
"Gneissic gabbronorite, charnockite and alkali-feldspar granite and mafic dykes",Null,Null,"Shallow marine mudstone, sandstone and conglomerate"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Pre/syn-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Pre/syn-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,Pre/syn-Delamerian felsic intrusive rocks
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Metasandstone, phyllite, schist, gneiss"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Cambro-Ordovician metasediments, including Kanmantoo Group?"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Cambro-Ordovician metasediments, including Kanmantoo Group?"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Cambro-Ordovician metasediments, including Kanmantoo Group?"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Cambro-Ordovician metasediments, including Kanmantoo Group?"
Pre-Neoproterozoic basement; area based on GA crustal elements,Null,Null,"Undifferentiated Cambro-Ordovician metasediments, including Kanmantoo Group?"
"Paragneiss, calcsilicate and orthogneiss",Null,Null,Marine shale and siltstone; deltaic sandstone; lagoonal and lacustrine stromatolitic dolomite and sedimentary magnesite; fluviodeltaic sandstone and conglomerate
