SA_Cover_thickness_50m_GDA94_NoData_dx,SA_Cover_thickness_50m_GDA94_NoData_dy,dem-9s_GDA94_SA_NoData_dx,dem-9s_GDA94_SA_NoData_dy,SA_CoverThickness_400m_GDA94_NoData_dx,SA_CoverThickness_400m_GDA94_NoData_dy
3.0568848,19.006348,0.45235753,-1.3481389,,
8.403125,18.749805,1.4312668,-0.7821226,,
8.043653,11.300684,-0.41408578,-0.14979362,,
9.870508,-7.3009768,0.36442795,-0.14382534,37.5041,-46.109547
5.5554686,20.985157,0.56523055,-1.1369979,-19.361206,17.670216
8.533789,12.32041,0.40190125,0.076596834,59.042747,4.8943114
42.304443,62.101074,6.409095,-5.101636,-19.69524,-46.683105
54.953712,21.3833,5.4235177,1.2850564,49.826904,-26.925928
41.001076,25.025196,-0.023940276,0.09071503,-102.33301,10.215283
-10.597559,49.772266,0.12419815,0.33328706,68.76909,-132.17256
-14.135742,78.64111,-0.043875583,-0.00439339,-23.864746,-27.335865
67.958595,65.2083,-0.73112774,0.49919215,-83.92578,17.721338
24.515331,-59.579002,0.7136631,1.1875579,36.9009,-57.20591
24.33125,79.48877,0.30154762,0.06636085,28.206837,21.395264
-74.71875,140.42783,-0.019718934,0.14383583,-73.616455,103.84204
-18.58047,75.64463,0.24447131,0.09799214,-57.07915,-105.09117
-1.0291992,-1.2881836,-0.20660229,-0.4135889,-5.1892576,70.56091
-21.985546,207.61319,0.19403572,0.45827025,-34.586266,85.19692
-28.091015,99.151955,-1.974543,-0.30701485,-28.15354,95.98354
19.624414,75.035645,8.719913,-2.0183978,26.892529,3.9394042
42.53135,-41.766502,-0.423596,0.4721365,15.268384,138.81099
-40.85215,32.252735,-2.0234458,0.0912426,37.94624,113.35276
-111.850975,-56.450584,2.526462,-0.41181564,-48.94053,44.879528
-13.828809,91.328514,-0.53024065,0.53559494,0.550354,11.698095
130.2795,80.933395,0.41760787,-0.35550612,31.29751,12.632666
-0.3046875,13.690796,0.1125658,-0.2565777,1.4329605,2.7480378
-2.8322265,118.08574,0.100774005,-0.033680342,-4.856546,-5.0786996
-14.462011,94.99111,1.3245739,-1.0257622,-2.919168,10.486949
-0.7876953,1.2112305,0.18736915,-0.05601158,0.43680802,2.8463616
92.21602,22.776855,0.2535797,-0.500425,37.003765,6.9743195
0.071777344,0.029785156,0.68161404,0.10577116,3.0052667,0.14592895
0.06748047,-0.017675782,-2.3503823,-7.288427,2.1344314,1.6677269
-1.1831055,2.3242188,-3.7010274,1.3696659,0.25831395,0.98888016
2.3638673,1.2076172,0.8409687,1.5307243,2.4557304,0.27581406
17.560253,0.18125,-0.1532486,1.4103066,12.602366,5.650635
-0.24938965,2.215918,1.0864846,-0.4092059,0.53428423,2.3098202
0.43320313,1.1674805,-0.63834304,-2.0115194,-0.85955274,-0.10110779
-0.91328126,0.01171875,0.9321188,-1.5959294,-9.47047,2.9248726
1.5943359,0.9513672,-0.63953936,0.44576263,0.43795317,1.6793976
1.1793945,0.083300784,-0.33455428,0.8911911,5.4867125,0.4446411
-1.4053711,-3.7088866,7.331311,-2.3303437,1.5981948,-0.38331833
-1.6980469,-5.783887,-0.9795971,-0.09696178,-0.6754883,0.043296814
-0.31054688,-0.8961914,-0.83780175,0.48328742,0.12614365,-1.4406163
2.8838868,-2.6760743,0.7974766,-0.44493216,1.4055436,-2.966064
1.7364258,-0.9759766,0.34068146,-0.6355087,4.939752,-0.29883575
-0.0009765625,1.2654623,1.854839,-0.98690814,0.15644988,-3.1731918
2.4549804,5.2564454,-0.7709225,-0.031922914,-0.3298889,-0.69931334
1.394336,-0.32001954,0.43482685,-0.19207153,-0.6272629,-2.4733567
-1.3202149,-3.1486328,-0.31299877,-0.025261689,-0.9735199,-1.2323014
0.72392577,-0.51279294,0.96945727,-0.10558853,1.8326919,-0.88297117
1.1459961,-1.1793945,-0.28405532,0.05636673,3.1743317,-2.1808472
,,9.166721,-8.254454,0.014328599,-0.12243535
0.060253907,-0.9146484,-1.2013973,0.6300804,-0.6632797,1.9816589
-0.9933594,1.6676757,0.4044407,0.10742931,0.9280861,5.618928
8.1404295,1.0470703,0.98135823,-0.53201514,0.7311722,0.6260834
-0.07460938,-0.019042969,4.077391,0.38693848,0.2624237,-0.5433289
1.1539062,-0.4131836,0.11626434,-0.26145172,1.5466232,-0.26562348
0.31845704,0.42734376,0.55188596,-0.71358645,0.98333895,-0.09237824
,7.114258,0.8493782,1.0412048,0.8547497,0.71958077
-1.2341797,6.4385743,-3.7250366,-9.088877,0.26358175,0.02049179
-0.45742187,5.666211,13.136142,-15.311009,-1.961147,-4.462085
0.2163086,3.3960938,-3.0776184,-4.9789786,-0.55791193,0.38613313
1.8370117,3.3984375,-7.22339,3.388361,0.28178614,0.37648258
0.6602783,6.216146,-1.2157694,1.7994734,0.10571647,-0.7253493
0.5719401,,-1.8395545,3.3745828,0.39546597,-0.36434174
-2.4235027,6.3408203,2.439589,-2.0921798,-0.0071989773,2.1653647
-0.7019043,-1.1050781,0.19506855,0.72551596,-1.1381623,-0.00723114
-0.23222657,1.2850586,1.9517279,0.8538245,-1.787941,2.6639924
3.1272461,-1.5013672,0.56170255,0.19813347,3.0442421,-0.74203414
0.46523437,2.670215,-1.0011227,0.24507828,-0.0749176,-0.8849884
1.200293,0.42148438,0.7559303,1.1801552,0.5973816,-0.49018556
0.6567383,-0.2821289,0.16107026,0.08786545,0.82402956,-0.60503846
-0.12246094,0.0484375,0.54105914,0.17683029,0.9594635,-0.39685363
1.3706055,,7.1186967,-3.0986085,1.5581052,7.4425464
3.3327637,0.72802734,0.26950836,-1.2553269,0.80920905,4.037789
-5.3998046,7.135742,-3.0842884,0.6954929,1.941246,-4.208101
