SA_Cover_thickness_50m_GDA94_NoData_dx,SA_Cover_thickness_50m_GDA94_NoData_dy,dem-9s_GDA94_SA_NoData_dx,dem-9s_GDA94_SA_NoData_dy,SA_CoverThickness_400m_GDA94_NoData_dx,SA_CoverThickness_400m_GDA94_NoData_dy
-2.0457032,103.64199,4.4652967,2.876769,-2.0553393,1.2134738
8.871679,102.43838,3.103665,-0.6864929,0.6728745,-2.202642
10.012793,96.27519,-0.54156494,-0.17252502,0.88140947,-0.46330643
-5.5075197,93.59668,1.0878845,2.585315,-0.47941285,0.24481487
-12.411914,101.33506,1.2085571,1.1148132,-0.24480757,-0.51052374
0.19472656,110.13731,-2.014464,-3.2202606,1.0197808,-0.3976051
7.1422853,118.48555,-1.7123077,0.9604553,2.0512748,1.0300944
-0.7868164,120.87197,-0.7121643,1.5972106,-0.778893,12.144976
-4.5680666,115.78652,-3.5734038,3.8695817,-2.355712,0.80486715
-1.2420899,107.49902,-1.1593812,-1.9049027,-2.0829418,1.6108615
5.1296873,110.34346,-2.4568436,-5.730258,0.40161458,2.2949922
10.44502,111.91103,1.8529847,-1.3428742,-3.4807496,1.4567778
17.398243,117.38887,-0.99274445,0.13682708,-1.257187,0.78790265
31.287403,119.347755,-2.0471923,-0.046795655,0.23237625,0.64938146
20.613184,115.37187,2.466809,-2.269371,0.9154331,0.94250315
-10.941015,104.78223,-23.542383,0.27494508,-5.9650993,15.693304
-28.85254,94.23916,-2.5630996,-0.4709076,1.3457594,1.2268049
,187.49121,,,,
65.08594,182.82214,1.4668379,1.1460768,-0.38394967,0.34471434
65.361206,189.83194,0.5875279,0.4462654,-0.1039444,0.06980972
75.09863,200.85849,1.0860695,0.7789463,0.181921,-0.0023021698
84.87891,215.9545,0.5164444,0.01843071,0.5518295,0.09833374
56.600586,222.07803,-0.81768453,1.2111328,0.3760395,0.40399018
-37.859375,194.05283,0.516539,0.92934227,-0.48513716,0.9204491
-141.16367,170.96036,0.14982872,0.2244648,-0.15617752,0.24337196
-146.254,188.35214,1.1014969,-0.13184586,0.98302954,0.8587414
-29.403906,175.38086,0.9197029,0.055415343,-1.2223403,0.59206086
48.74453,197.99512,0.24389648,-0.54450834,-0.71551096,0.12492218
30.448242,234.73418,-0.21423951,-0.10725937,-0.40108338,-0.24682598
-2.2098632,254.98398,-0.3468933,-0.9721657,-0.45523053,0.018003082
-36.734276,259.81747,1.3996605,1.2590301,-0.60682774,0.14956589
-61.953712,244.49345,-0.24582215,0.031156922,-0.3146065,0.12741432
-63.225098,210.07578,1.9851891,0.14843293,0.18837318,0.16386095
-23.737305,163.22021,0.53558886,1.1774895,0.97201145,-1.398802
22.885157,142.18839,-1.2021987,-0.52981794,4.386469,-0.34124604
9.680664,146.6163,0.9750999,0.27340394,-9.605086,0.5606574
-41.062305,145.04472,-1.4736763,1.0179741,2.4662976,-1.4662697
-53.357716,138.10889,2.5824103,-0.5433792,-1.5422426,-0.17482261
-18.048243,124.13731,0.44071501,3.2290878,1.1164353,-0.16453214
13.040039,118.09414,4.0670485,-6.1997604,-2.995047,-0.454292
16.71172,117.04414,14.318092,0.7953308,-7.644338,0.6936298
9.602051,121.038864,-4.718132,13.258841,-0.051572464,0.20163862
0.52441406,132.99374,7.212369,0.06800842,-1.4158351,5.4387712
-0.32773438,130.48946,7.547128,-1.4441284,-1.5981852,1.2221736
2.9589844,123.65928,2.484012,1.4055176,0.50045395,-0.40337324
1.0625,131.19551,4.971568,-9.897804,1.5324806,0.7774337
-1.0154297,139.30879,0.48656768,3.7005112,-0.27516288,-4.1269994
3.3393555,136.90439,-6.3668976,0.22519684,0.59771204,0.6396364
-3.211621,123.427635,0.50706786,-0.011981201,0.882151,2.1074955
-12.411524,120.57539,2.081407,0.20168915,-0.2680828,-1.4477693
-1.3594726,124.45772,-1.5067825,2.9069963,5.248095,-1.9482882
38.43496,130.73282,-1.6621704,2.474437,0.5322109,-0.1158751
42.663574,118.64404,-0.68851775,0.99319,-1.2499741,1.196737
8.86289,98.68545,1.7427261,-0.36686248,-0.3293274,-0.16037913
-36.805664,89.811134,2.4661896,-2.7390945,1.5144972,0.6081971
-38.02334,96.13731,-3.6046264,10.8234005,-0.6164135,2.2651308
-9.837011,104.84599,9.518692,-3.6141572,-0.31262398,-5.122402
10.777344,101.873535,-12.6036625,14.468088,2.8536553,0.84903604
11.086914,102.433495,-0.34236756,-1.4649261,2.0327952,5.910909
-7.384668,102.42129,-0.2646286,0.38304442,-1.0389196,-1.0191935
-16.801367,98.549805,-0.7571732,1.113292,5.9068656,-1.1357981
-9.917773,102.64473,-1.0694946,0.63332367,-3.0720496,-4.8359222
-3.6166015,111.464554,2.3244462,-8.714877,0.84660876,2.7286255
-0.3239258,118.53984,-17.28343,-8.744522,-0.63563746,2.1579168
5.126953,109.94541,2.3117828,-2.8344727,2.1634402,2.22663
3.8020508,111.06612,-3.595813,-4.3735366,-1.2414274,2.3688457
2.7885742,110.10742,-2.1537871,-1.0342178,3.1383805,1.0328085
4.872168,109.322365,-0.84178007,1.8547928,1.3668854,-1.7794864
7.484082,114.62168,1.7154922,-2.9033675,-0.059622288,-1.6830639
19.22334,124.9211,-3.1042619,-2.018518,0.7226102,-0.14643493
26.000683,137.21016,-4.2173676,15.9431095,0.12141393,-1.5163897
