Faults,Archaean - Early Mesoproterozoic polygons_Contact,Late Mesoproterozoic polygons_Contact,Middle Mesoproterozoic polygons_Contact,Neoproterozoic - Ordovician polygons_Contact,Archaean to early Mesoproterozoic geological provinces_Contact,Cainozoic geological provinces_Contact,Cambrian to late Carboniferous geological provinces_Contact,Jurassic to Cretaceous geolgocial provinces_Contact,Late Carboniferous to Triassic geological provinces_Contact,Middle to late Mesoproterozoic geoglocial provinces_Contact,Neoproterozoic geolgoical provinces_Contact,Res_C1,Res_C2,Res_C3,Res_C4,Res_C5,Res_C6,Res_C7,Res_C8,Res_C9,Res_C10,Res_C11,Res_C12
74.74,2402.82,521481.42,62613.41,9547.73,183489.11,31883.79,145682.68,95715.32,95715.32,57814.04,66918.75,5.686497806820792,0.046526722969668,-3.964437666927128,0.6464338252029045,6.071320696846866,1.504795377478093,0.8762065629287703,0.7948380775409329,0.7406609394768136,-2.253084009073555,0.237813918955743,0.7539472346262691
1324.37,2179.81,526259.4,59624.3,6787.47,178489.15,36397.47,141009.4,96392.98,96392.98,55378.15,63599.8,5.686497806820792,0.046526722969668,-3.964437666927128,0.6464338252029045,6.071320696846866,1.504795377478093,0.8762065629287703,0.7948380775409329,0.7406609394768136,-2.253084009073555,0.237813918955743,0.7539472346262691
4862.57,362.1,531041.47,56347.35,3207.63,173489.18,41024.09,136359.29,97321.83,97321.83,53301.17,60512.41,4.219512590283232,2.5961266018610063,-3.93425690842832,0.5726247041894523,5.4511993060801,0.4939793156600923,0.240226657630809,0.8741876357538197,0.6421774436806391,-1.84858749190422,0.744553743459299,0.7812047044829572
1468.85,547.37,535827.52,52285.62,123.05,168489.22,45729.38,131734.83,98496.03,98496.03,51626.46,57691.95,4.219512590283232,2.5961266018610063,-3.93425690842832,0.5726247041894523,5.4511993060801,0.4939793156600923,0.240226657630809,0.8741876357538197,0.6421774436806391,-1.84858749190422,0.744553743459299,0.7812047044829572
1614.53,1614.53,540616.76,48358.0,68.63,163489.26,50491.35,127138.79,99906.95,99906.95,48357.98,55011.83,6.257549434878481,8.12689428356904,-2.2965065020319693,-3.0424233221010075,-0.159750090053079,-0.336622985163523,-0.5253949875334759,-0.8400081834747307,-0.8841253418242516,0.3280589899220123,1.1638949490050965,0.0786244381872058
5114.95,2822.1,545409.28,44632.44,2533.53,158489.31,55295.35,122574.38,101496.41,101496.41,44632.44,52607.75,6.257549434878481,8.12689428356904,-2.2965065020319693,-3.0424233221010075,-0.159750090053079,-0.336622985163523,-0.5253949875334759,-0.8400081834747307,-0.8841253418242516,0.3280589899220123,1.1638949490050965,0.0786244381872058
4430.44,2114.06,550205.49,41064.69,686.49,153489.35,60131.32,118045.27,103254.3,103254.3,41064.7,50585.07,5.552736018729394,8.354110161775694,-2.784203673883496,-1.7784790917180522,-0.7752891125744942,-0.3798929097476333,0.0343202117306052,0.2046049703244787,-0.1583123370084626,0.7601336543032394,1.1409191452813725,-0.0482844707274849
4724.62,1781.78,555005.3,37811.47,3473.9,148489.4,64992.12,113555.68,105220.62,105220.62,37811.47,48941.98,5.552736018729394,8.354110161775694,-2.784203673883496,-1.7784790917180522,-0.7752891125744942,-0.3798929097476333,0.0343202117306052,0.2046049703244787,-0.1583123370084626,0.7601336543032394,1.1409191452813725,-0.0482844707274849
1620.21,988.06,559808.61,34794.09,1273.21,143489.46,69872.57,109110.5,107346.61,107346.61,34794.08,47605.92,5.260449234882689,5.587028771772706,-3.1278450474678787,-1.1574622128797512,0.132899465630446,-0.1657317732127627,0.5640120234197741,0.7728185139845417,-0.0554969210885047,0.806846927381745,0.754404142027098,-0.4141909838982663
579.5,931.32,564615.34,32089.04,1399.52,138489.51,74768.82,104715.37,109616.52,109616.52,32089.04,46768.89,5.260449234882689,5.587028771772706,-3.1278450474678787,-1.1574622128797512,0.132899465630446,-0.1657317732127627,0.5640120234197741,0.7728185139845417,-0.0554969210885047,0.806846927381745,0.754404142027098,-0.4141909838982663
