Faults,Archaean - Early Mesoproterozoic polygons_Contact,Late Mesoproterozoic polygons_Contact,Middle Mesoproterozoic polygons_Contact,Neoproterozoic - Ordovician polygons_Contact,Archaean to early Mesoproterozoic geological provinces_Contact,Cainozoic geological provinces_Contact,Cambrian to late Carboniferous geological provinces_Contact,Jurassic to Cretaceous geolgocial provinces_Contact,Late Carboniferous to Triassic geological provinces_Contact,Middle to late Mesoproterozoic geoglocial provinces_Contact,Neoproterozoic geolgoical provinces_Contact,Res_C1,Res_C2,Res_C3,Res_C4,Res_C5,Res_C6,Res_C7,Res_C8,Res_C9,Res_C10,Res_C11,Res_C12
93854.95,35136.12,1129532.52,576018.36,21446.21,180049.65,44981.66,21446.21,44981.66,126970.47,576420.7,203070.18,-3.3754359706822235,5.682182385832863,0.6070412420164532,1.8625004414716435,-0.3233193709465141,-0.6226389226122766,-0.2420741689661997,0.2386419003176304,0.2004813756387527,0.4028379187842893,0.0285102379812636,-0.1036214779770735
85562.75,27789.96,1144902.41,583961.84,20445.62,197457.65,25043.24,20445.62,25043.24,135222.14,584356.3,211217.83,-2.088798922722654,4.3125314455340895,0.5677571131450779,1.8465772280772144,-0.6858452979327045,-0.320101210604705,-0.210323650317895,0.3904823141183071,0.1780913972077342,0.4282067489862528,-0.1353178796068709,-0.0192403106470725
81444.57,7831.46,1160413.45,592474.21,7831.46,215316.45,5105.25,7831.46,5105.25,145768.83,592860.65,220097.9,-0.1950635465433097,2.517458161298599,1.0241569018695145,1.2585043533125488,-0.6756040966420288,0.4297072187946911,-0.1621605535834431,0.3523851535729065,0.2775488408356719,0.4586248880056555,-0.3114320222762245,0.0263998576785745
75557.91,32781.99,1116753.61,557592.18,5909.4,170604.28,46552.18,5909.4,46552.18,108437.49,557991.15,184649.89,-3.3754359706822235,5.682182385832863,0.6070412420164532,1.8625004414716435,-0.3233193709465141,-0.6226389226122766,-0.2420741689661997,0.2386419003176304,0.2004813756387527,0.4028379187842893,0.0285102379812636,-0.1036214779770735
66902.44,21754.78,1132296.98,565794.4,5473.46,188884.8,26604.35,5473.46,26604.35,117992.43,566185.12,193139.68,-2.088798922722654,4.3125314455340895,0.5677571131450779,1.8465772280772144,-0.6858452979327045,-0.320101210604705,-0.210323650317895,0.3904823141183071,0.1780913972077342,0.4282067489862528,-0.1353178796068709,-0.0192403106470725
61548.1,9128.53,1147976.2,574575.99,9128.53,207482.81,6656.52,9117.78,6656.52,129896.62,574958.3,202752.89,-0.1950635465433097,2.517458161298599,1.0241569018695145,1.2585043533125488,-0.6756040966420288,0.4297072187946911,-0.1621605535834431,0.3523851535729065,0.2775488408356719,0.4586248880056555,-0.3114320222762245,0.0263998576785745
69362.54,28457.25,1088611.82,531419.46,2758.99,144298.71,67904.45,2758.99,67904.45,82658.04,531823.25,158546.93,-4.311534526654932,6.356212226636855,0.8578798802540291,1.81757419015637,-0.0054818336737849,-0.3066271198149031,-0.2682287051724751,0.0410739888310609,0.3780505064019574,0.4546788698254231,0.1563550885368585,-0.2320463895483165
57435.37,16394.01,1104188.65,539278.14,5357.81,163075.95,47946.2,5357.81,47946.2,90531.08,539673.44,166511.01,-3.3754359706822235,5.682182385832863,0.6070412420164532,1.8625004414716435,-0.3233193709465141,-0.6226389226122766,-0.2420741689661997,0.2386419003176304,0.2004813756387527,0.4028379187842893,0.0285102379812636,-0.1036214779770735
49304.04,5071.7,1119904.06,547754.67,5548.22,182113.74,27987.95,5548.23,27987.95,101764.75,548141.3,175409.76,-2.088798922722654,4.3125314455340895,0.5677571131450779,1.8465772280772144,-0.6858452979327045,-0.320101210604705,-0.210323650317895,0.3904823141183071,0.1780913972077342,0.4282067489862528,-0.1353178796068709,-0.0192403106470725
41750.7,5983.23,1135754.2,556820.84,10404.72,201338.18,8029.69,10398.43,8029.69,115173.45,557198.66,185941.87,-0.1950635465433097,2.517458161298599,1.0241569018695145,1.2585043533125488,-0.6756040966420288,0.4297072187946911,-0.1621605535834431,0.3523851535729065,0.2775488408356719,0.4586248880056555,-0.3114320222762245,0.0263998576785745
61329.75,18315.88,1060477.62,505474.29,1383.75,118905.06,70640.73,1383.75,49490.19,59211.6,505883.19,133088.45,-4.803910524313967,6.474772455014157,1.2923794938994833,1.8392266934413408,0.1728654878264809,0.4971729104251802,-0.3238538938038689,-0.0833338009646802,0.5949331126728905,0.6104692609013636,0.2470689323808075,-0.3774871520168398
56445.16,12667.15,1076089.37,512950.8,716.17,138239.14,59786.39,716.17,50622.37,63792.94,513351.02,139982.9,-4.311534526654932,6.356212226636855,0.8578798802540291,1.81757419015637,-0.0054818336737849,-0.3066271198149031,-0.2682287051724751,0.0410739888310609,0.3780505064019574,0.4546788698254231,0.1563550885368585,-0.2320463895483165
41093.12,407.11,1091842.87,521088.08,10380.89,157739.37,49191.38,10380.89,42865.37,73709.32,521479.36,148419.79,-3.3754359706822235,5.682182385832863,0.6070412420164532,1.8625004414716435,-0.3233193709465141,-0.6226389226122766,-0.2420741689661997,0.2386419003176304,0.2004813756387527,0.4028379187842893,0.0285102379812636,-0.1036214779770735
31245.85,11477.45,1107733.43,529855.7,5104.0,177350.95,29227.59,5104.0,29227.59,86891.04,530237.86,158222.09,-2.088798922722654,4.3125314455340895,0.5677571131450779,1.8465772280772144,-0.6858452979327045,-0.320101210604705,-0.210323650317895,0.3904823141183071,0.1780913972077342,0.4282067489862528,-0.1353178796068709,-0.0192403106470725
22317.54,5311.5,1123755.26,539222.89,11664.6,197040.62,9263.8,11674.54,9263.8,101375.1,539595.82,169631.41,-0.1950635465433097,2.517458161298599,1.0241569018695145,1.2585043533125488,-0.6756040966420288,0.4297072187946911,-0.1621605535834431,0.3523851535729065,0.2775488408356719,0.4586248880056555,-0.3114320222762245,0.0263998576785745
41366.77,1548.87,1048000.04,486843.03,4135.12,115005.9,56422.15,4135.12,29800.78,39283.6,487248.5,114166.64,-4.803910524313967,6.474772455014157,1.2923794938994833,1.8392266934413408,0.1728654878264809,0.4971729104251802,-0.3238538938038689,-0.0833338009646802,0.5949331126728905,0.6104692609013636,0.2470689323808075,-0.3774871520168398
37260.51,3936.44,1063793.49,494601.26,2722.96,134899.99,42626.62,2722.96,33222.01,45899.09,494997.54,121804.2,-4.311534526654932,6.356212226636855,0.8578798802540291,1.81757419015637,-0.0054818336737849,-0.3066271198149031,-0.2682287051724751,0.0410739888310609,0.3780505064019574,0.4546788698254231,0.1563550885368585,-0.2320463895483165
29160.88,15402.71,1079726.4,503035.46,4776.37,154821.36,34138.69,4776.37,23559.65,58608.63,503422.31,130744.34,-3.3754359706822235,5.682182385832863,0.6070412420164532,1.8625004414716435,-0.3233193709465141,-0.6226389226122766,-0.2420741689661997,0.2386419003176304,0.2004813756387527,0.4028379187842893,0.0285102379812636,-0.1036214779770735
12889.0,8872.49,1095792.69,512112.23,2907.9,174760.7,21208.91,3486.44,16746.34,73243.83,512489.5,141731.42,-2.088798922722654,4.3125314455340895,0.5677571131450779,1.8465772280772144,-0.6858452979327045,-0.320101210604705,-0.210323650317895,0.3904823141183071,0.1780913972077342,0.4282067489862528,-0.1353178796068709,-0.0192403106470725
5781.04,5730.57,1111986.57,521798.05,5414.66,194712.49,6070.71,12946.9,5294.65,89854.94,522165.63,153868.12,-0.1950635465433097,2.517458161298599,1.0241569018695145,1.2585043533125488,-0.6756040966420288,0.4297072187946911,-0.1621605535834431,0.3523851535729065,0.2775488408356719,0.4586248880056555,-0.3114320222762245,0.0263998576785745
21472.79,5210.13,1035756.89,468324.69,5119.15,113750.27,40632.92,5119.15,9991.98,19503.57,468726.36,95366.88,-4.803910524313967,6.474772455014157,1.2923794938994833,1.8392266934413408,0.1728654878264809,0.4971729104251802,-0.3238538938038689,-0.0833338009646802,0.5949331126728905,0.6104692609013636,0.2470689323808075,-0.3774871520168398
18106.96,6853.46,1051734.21,476384.59,6271.54,133715.91,28494.01,6271.54,13438.78,30326.22,476776.53,103701.17,-4.311534526654932,6.356212226636855,0.8578798802540291,1.81757419015637,-0.0054818336737849,-0.3066271198149031,-0.2682287051724751,0.0410739888310609,0.3780505064019574,0.4546788698254231,0.1563550885368585,-0.2320463895483165
19770.97,164.73,1067847.07,485135.6,944.48,153557.86,15089.93,944.48,7294.69,45303.49,485517.58,113840.8,-3.3754359706822235,5.682182385832863,0.6070412420164532,1.8625004414716435,-0.3233193709465141,-0.6226389226122766,-0.2420741689661997,0.2386419003176304,0.2004813756387527,0.4028379187842893,0.0285102379812636,-0.1036214779770735
2889.54,8563.07,1084089.42,494541.02,272.39,173399.8,5877.33,272.39,10215.09,62941.71,494912.91,125704.21,-2.088798922722654,4.3125314455340895,0.5677571131450779,1.8465772280772144,-0.6858452979327045,-0.320101210604705,-0.210323650317895,0.3904823141183071,0.1780913972077342,0.4282067489862528,-0.1353178796068709,-0.0192403106470725
6793.92,14211.86,1100455.54,504564.26,422.22,193241.74,6971.0,6330.32,8698.3,81675.64,504925.98,138692.02,-0.1950635465433097,2.517458161298599,1.0241569018695145,1.2585043533125488,-0.6756040966420288,0.4297072187946911,-0.1621605535834431,0.3523851535729065,0.2775488408356719,0.4586248880056555,-0.3114320222762245,0.0263998576785745
3309.37,13689.84,1023758.07,449933.21,1100.16,111457.44,28279.8,6178.03,9225.14,2043.81,450330.66,77097.39,-4.803910524313967,6.474772455014157,1.2923794938994833,1.8392266934413408,0.1728654878264809,0.4971729104251802,-0.3238538938038689,-0.0833338009646802,0.5949331126728905,0.6104692609013636,0.2470689323808075,-0.3774871520168398
4723.69,12962.09,1039919.76,458316.66,1642.64,131211.61,12552.35,6234.55,6486.18,18443.28,458703.79,86136.98,-4.311534526654932,6.356212226636855,0.8578798802540291,1.81757419015637,-0.0054818336737849,-0.3066271198149031,-0.2682287051724751,0.0410739888310609,0.3780505064019574,0.4546788698254231,0.1563550885368585,-0.2320463895483165
6626.76,18341.98,1056212.87,467406.06,4182.29,151027.18,3127.59,4182.29,4647.49,38062.89,467782.67,97609.93,-3.3754359706822235,5.682182385832863,0.6070412420164532,1.8625004414716435,-0.3233193709465141,-0.6226389226122766,-0.2420741689661997,0.2386419003176304,0.2004813756387527,0.4028379187842893,0.0285102379812636,-0.1036214779770735
8296.76,15698.0,1072631.41,477161.08,625.37,170885.74,9068.29,8348.58,5798.99,57824.88,477527.05,110489.89,-2.088798922722654,4.3125314455340895,0.5677571131450779,1.8465772280772144,-0.6858452979327045,-0.320101210604705,-0.210323650317895,0.3904823141183071,0.1780913972077342,0.4282067489862528,-0.1353178796068709,-0.0192403106470725
1518.6,2719.48,1089169.71,487541.76,535.28,190773.84,12744.24,535.28,14306.95,77604.36,487897.06,123770.99,-0.1950635465433097,2.517458161298599,1.0241569018695145,1.2585043533125488,-0.6756040966420288,0.4297072187946911,-0.1621605535834431,0.3523851535729065,0.2775488408356719,0.4586248880056555,-0.3114320222762245,0.0263998576785745
4374.16,28306.9,1012012.28,431684.8,87.83,109615.32,16455.3,530.38,28553.85,2768.46,432077.54,58986.7,-4.803910524313967,6.474772455014157,1.2923794938994833,1.8392266934413408,0.1728654878264809,0.4971729104251802,-0.3238538938038689,-0.0833338009646802,0.5949331126728905,0.6104692609013636,0.2470689323808075,-0.3774871520168398
5860.94,8467.66,1028358.58,440415.76,530.93,129614.21,6902.22,1167.79,25579.6,16965.32,440797.53,69656.59,-4.311534526654932,6.356212226636855,0.8578798802540291,1.81757419015637,-0.0054818336737849,-0.3066271198149031,-0.2682287051724751,0.0410739888310609,0.3780505064019574,0.4546788698254231,0.1563550885368585,-0.2320463895483165
2226.72,3164.43,1044831.99,449866.99,3376.02,149613.39,7147.7,3376.02,23838.48,36887.24,450237.63,82287.75,-3.3754359706822235,5.682182385832863,0.6070412420164532,1.8625004414716435,-0.3233193709465141,-0.6226389226122766,-0.2420741689661997,0.2386419003176304,0.2004813756387527,0.4028379187842893,0.0285102379812636,-0.1036214779770735
2666.38,517.64,1061426.59,459994.1,2495.31,169612.77,20126.55,2495.31,25687.86,56864.0,460353.54,95499.1,-2.088798922722654,4.3125314455340895,0.5677571131450779,1.8465772280772144,-0.6858452979327045,-0.320101210604705,-0.210323650317895,0.3904823141183071,0.1780913972077342,0.4282067489862528,-0.1353178796068709,-0.0192403106470725
13278.87,12393.35,1078136.78,470753.49,13360.22,189612.27,13910.24,13360.22,31838.32,76852.85,471101.73,109302.48,-0.1950635465433097,2.517458161298599,1.0241569018695145,1.2585043533125488,-0.6756040966420288,0.4297072187946911,-0.1621605535834431,0.3523851535729065,0.2775488408356719,0.4586248880056555,-0.3114320222762245,0.0263998576785745
11300.42,32764.3,1000528.42,413598.41,6879.49,110882.98,2054.67,6879.49,48348.16,1367.94,413985.87,41759.76,-4.803910524313967,6.474772455014157,1.2923794938994833,1.8392266934413408,0.1728654878264809,0.4971729104251802,-0.3238538938038689,-0.0833338009646802,0.5949331126728905,0.6104692609013636,0.2470689323808075,-0.3774871520168398
1938.3,16295.36,1017059.3,422703.11,1978.46,130692.82,2456.48,1978.46,44773.02,20667.99,423078.91,54084.93,-4.311534526654932,6.356212226636855,0.8578798802540291,1.81757419015637,-0.0054818336737849,-0.3066271198149031,-0.2682287051724751,0.0410739888310609,0.3780505064019574,0.4546788698254231,0.1563550885368585,-0.2320463895483165
3771.85,277.63,1033712.79,432541.54,466.63,150552.95,1226.35,466.63,43568.17,40033.78,432905.56,67227.21,-3.3754359706822235,5.682182385832863,0.6070412420164532,1.8625004414716435,-0.3233193709465141,-0.6226389226122766,-0.2420741689661997,0.2386419003176304,0.2004813756387527,0.4028379187842893,0.0285102379812636,-0.1036214779770735
11973.71,18751.82,1050483.06,443064.84,16921.14,170445.8,12539.2,16921.14,45655.19,59655.57,443417.05,81020.5,-2.088798922722654,4.3125314455340895,0.5677571131450779,1.8465772280772144,-0.6858452979327045,-0.320101210604705,-0.210323650317895,0.3904823141183071,0.1780913972077342,0.4282067489862528,-0.1353178796068709,-0.0192403106470725
25449.45,17974.64,1067364.59,454225.41,17975.39,190361.1,15080.68,17975.39,49944.28,79422.67,454565.88,96382.25,-0.1950635465433097,2.517458161298599,1.0241569018695145,1.2585043533125488,-0.6756040966420288,0.4297072187946911,-0.1621605535834431,0.3523851535729065,0.2775488408356719,0.4586248880056555,-0.3114320222762245,0.0263998576785745
895.37,33699.45,989315.61,395696.25,876.15,115263.8,10623.2,4147.27,68246.5,7786.69,396077.77,25880.74,-4.803910524313967,6.474772455014157,1.2923794938994833,1.8392266934413408,0.1728654878264809,0.4971729104251802,-0.3238538938038689,-0.0833338009646802,0.5949331126728905,0.6104692609013636,0.2470689323808075,-0.3774871520168398
823.66,14162.67,1006030.76,405203.4,333.58,134485.75,13134.74,333.58,64344.26,26725.52,405572.51,38955.31,-4.311534526654932,6.356212226636855,0.8578798802540291,1.81757419015637,-0.0054818336737849,-0.3066271198149031,-0.2682287051724751,0.0410739888310609,0.3780505064019574,0.4546788698254231,0.1563550885368585,-0.2320463895483165
7961.97,5260.7,1022863.82,415456.45,6906.62,153906.1,3361.99,9020.2,63439.81,45666.72,415813.09,52740.97,-3.3754359706822235,5.682182385832863,0.6070412420164532,1.8625004414716435,-0.3233193709465141,-0.6226389226122766,-0.2420741689661997,0.2386419003176304,0.2004813756387527,0.4028379187842893,0.0285102379812636,-0.1036214779770735
27221.7,21832.79,1039809.08,426401.61,7232.02,173458.24,7575.6,7232.02,65641.25,64612.9,426745.81,68606.31,-2.088798922722654,4.3125314455340895,0.5677571131450779,1.8465772280772144,-0.6858452979327045,-0.320101210604705,-0.210323650317895,0.3904823141183071,0.1780913972077342,0.4282067489862528,-0.1353178796068709,-0.0192403106470725
