AlOH_group_composition_grayscale_mean,AlOH_group_composition_grayscale_std,AlOH_group_composition_grayscale_dissimilarity,AlOH_group_composition_grayscale_correlation,AlOH_group_content_grayscale_mean,AlOH_group_content_grayscale_std,AlOH_group_content_grayscale_dissimilarity,AlOH_group_content_grayscale_correlation,FeOH_group_content_grayscale_mean,FeOH_group_content_grayscale_std,FeOH_group_content_grayscale_dissimilarity,FeOH_group_content_grayscale_correlation,Ferric_oxide_composition_grayscale_mean,Ferric_oxide_composition_grayscale_std,Ferric_oxide_composition_grayscale_dissimilarity,Ferric_oxide_composition_grayscale_correlation,Ferric_oxide_content_grayscale_mean,Ferric_oxide_content_grayscale_std,Ferric_oxide_content_grayscale_dissimilarity,Ferric_oxide_content_grayscale_correlation,Ferrous_iron_content_in_MgOH_grayscale_mean,Ferrous_iron_content_in_MgOH_grayscale_std,Ferrous_iron_content_in_MgOH_grayscale_dissimilarity,Ferrous_iron_content_in_MgOH_grayscale_correlation,Ferrous_iron_index_grayscale_mean,Ferrous_iron_index_grayscale_std,Ferrous_iron_index_grayscale_dissimilarity,Ferrous_iron_index_grayscale_correlation,Green_vegetation_content_grayscale_mean,Green_vegetation_content_grayscale_std,Green_vegetation_content_grayscale_dissimilarity,Green_vegetation_content_grayscale_correlation,Kaolin_group_index_grayscale_mean,Kaolin_group_index_grayscale_std,Kaolin_group_index_grayscale_dissimilarity,Kaolin_group_index_grayscale_correlation,MgOH_group_composition_grayscale_mean,MgOH_group_composition_grayscale_std,MgOH_group_composition_grayscale_dissimilarity,MgOH_group_composition_grayscale_correlation,MgOH_group_content_grayscale_mean,MgOH_group_content_grayscale_std,MgOH_group_content_grayscale_dissimilarity,MgOH_group_content_grayscale_correlation,Opaque_index_grayscale_mean,Opaque_index_grayscale_std,Opaque_index_grayscale_dissimilarity,Opaque_index_grayscale_correlation,Quartz_index_grayscale_mean,Quartz_index_grayscale_std,Quartz_index_grayscale_dissimilarity,Quartz_index_grayscale_correlation,Silica_index_grayscale_mean,Silica_index_grayscale_std,Silica_index_grayscale_dissimilarity,Silica_index_grayscale_correlation
111.4269943,59.60005569,71.53499793,0.098168805,54.38656616,23.13902473,28.66155694,0.192384428,21.66057205,31.80350876,34.78920083,0.088310426,83.44241333,45.98656845,58.87702692,0.182023095,79.8036499,31.94759178,35.99126294,0.209606944,91.82312775,55.7290535,66.69801242,0.169702089,108.9104309,22.95324326,25.26231884,0.201437935,3.782203436,13.79608822,6.868455487,0.147181274,36.94733429,31.18934631,37.44787578,0.145494285,107.8700333,65.77249908,82.10118427,0.081723824,51.84113693,31.15069962,37.74630228,0.127928335,0.58266896,4.324145794,1.064778468,0.105990153,98.80097198,45.53991318,55.27882869,0.183278119,91.15981293,25.3895874,29.32990315,0.281281568
167.651001,26.63321114,36.3232381,0.018948912,62.67114258,8.913034439,20.22977226,0.010115241,53.23489761,30.79971886,42.64505176,0.004636086,100.4899292,38.70012283,78.00187992,0.018200187,69.47650909,21.81668091,26.68561491,0.120261508,152.0335541,30.71265602,30.31853416,0.053561758,152.4362488,33.18169022,40.20568116,0.143993729,1,0,0.133556936,0.265078804,22.74496651,23.66124344,62.57345756,0.018108544,85.67784882,30.13532639,44.41038509,0.0178983,90.63758087,25.16661644,41.30568944,0.137639019,1,0,0,1,41.79999924,32.20807266,49.11723773,0.033879696,109.4000015,4.963869572,61.50949247,0.054020632
21,32.04372025,52.44730435,0.022746801,17.39999962,24.35241127,60.11069151,0.059589804,0.800000012,0.400000006,19.03634783,0.055029151,98.40000153,49.09419632,32.2260207,0.299146339,54.20000076,8.109253883,25.394294,0.461076427,3.200000048,2.227105856,60.24498551,0.118341776,109.1999969,15.17102528,18.63345756,0.052749559,23.39999962,22.27644539,19.2109648,0.309477527,3.400000095,2.727636337,44.29542029,0.328866192,3.799999952,1.600000024,66.62536646,0.144235947,2.799999952,0.748331428,37.68375983,0.107079179,1,0,0,1,12.19999981,18.41086769,46.25030266,0.093286227,69,4.898979664,23.71844734,0.072079007
101.5999985,83.88230133,90.66269458,0.06627144,35.40000153,24.20413208,52.31658615,0.090868197,76,21.75316048,46.82326273,0.099786463,0,0,32.79924027,0.327585076,0.200000003,0.400000036,18.29039184,0.751429337,43.59999847,3.382306814,26.86727776,0.57212765,50.40000153,19.38659477,22.07714604,0.60392622,1,0,0.178991701,-0.000351087,59.20000076,19.16663742,30.46941657,0.11075394,105.4000015,56.42552567,51.51282877,0.091542438,105,11.48912525,31.4023783,0.267475907,1,0,0.061753169,0.034250978,3.200000048,2.481934786,36.27988601,0.459686688,3,0,27.01739913,0.751988631
88.59999847,45.30165482,85.05540278,0.065905446,49.59999847,22.08710098,65.16807465,0.110566743,1.600000024,1.200000048,32.49155622,0.025993548,119.4000015,2.576819897,23.65362732,0.137874617,96.40000153,25.12847137,27.87153887,0.318638606,49.20000076,20.8269043,34.67651844,0.157468103,68.80000305,18.94623947,32.05721128,0.305465659,1,0,0.289533011,0.028851451,48.59999847,22.78244972,53.8273752,0.093965778,123.1999969,61.03900528,75.434411,0.15957223,47,24.77902412,30.96541558,0.137116201,0,0,0.271646228,0.996937377,2,2.529822111,23.00259463,0.078298826,2,1.095445156,12.40720391,0.162312828
80.19999695,63.06948853,53.64403109,0.130071929,45.20000076,35.95775223,27.9669071,0.22062565,15.19999981,17.49742699,31.37470975,0.306829591,96,48.0249939,37.19809627,0.448178793,70,7.94984293,49.36243269,0.48993774,38.59999847,6.74091959,30.94352222,0.457725851,40.20000076,27.66514015,33.23407111,0.486989819,0,0,20.09337483,0.620051816,29.39999962,32.04122162,29.64042455,0.511260251,127.8000031,5.153639793,50.16587619,0.494279969,134.3999939,38.72776794,32.22953411,0.484565411,3.400000095,2.870539904,2.936819656,0.243161853,1.600000024,1.019804001,49.42666361,0.296212616,1,0,39.09546703,0.266133037
42.59999847,51.2897644,21.30143271,0.164603624,34,25.00399971,18.66520083,0.24414815,0,0,0.074931677,0.017148405,101,4.604345798,54.88847205,0.47007623,100.8000031,13.24235725,35.42366874,0.49458173,0,0,0.135519669,0.166588641,123.1999969,1.166190386,37.93778882,0.521440629,63.40000153,2.0591259,30.30563975,0.493894898,0,0,0.104910973,0.018032433,0,0,0.072463768,0.171275406,0,0,0.198244306,0.120849964,0,0,24.65493168,0.649463789,0.200000003,0.400000006,11.50128632,0.178852921,0,0,20.23940678,0.409702159
56.79999924,18.78722954,26.47606425,0.046863303,69,17.05285835,29.79080887,0.018031831,1.799999952,1.326649904,8.483133077,0.030884808,118.5999985,19.96597099,45.62884512,0.195738374,68.19999695,18.10414314,33.37430117,0.112207533,33.40000153,62.31404114,64.15410215,0.062043314,112,26.06146622,31.79220447,0.178565759,0.600000024,1.200000048,5.195003923,0.052873975,48.40000153,28.76525879,53.68347991,0.046482832,14,20.26820183,41.36978405,0.048427409,5,5.58569622,16.71013667,0.080899451,1,0,1.503530286,0.299773759,69.40000153,34.37208176,57.629884,0.156395471,86.59999847,7.391887665,41.12423687,0.335602383
40.40000153,73.83386993,23.15057557,0.022488663,9.800000191,15.3022871,23.91643064,0.036436984,0.600000024,0.489897937,2.090600414,0.033770698,72.80000305,12.15565681,49.29588406,0.161702443,133.6000061,30.26945686,33.36515114,0.150992481,1,0,5.37899793,0.074973219,41.20000076,28.97861481,29.64247619,0.640126535,52.40000153,22.79122734,32.71243064,0.197569862,1.200000048,0.748331487,5.431635611,0.049983207,1.799999952,1.939072013,6.86342029,0.052056661,0.800000012,0.748331547,4.515743271,0.049703407,0,0,0.107395445,0.620773732,0,0,11.10161925,0.079607673,1,0,3.054025424,0.012930369
0.400000006,0.489897966,0.506688687,0.014869696,0.400000006,0.489897966,0.674698596,0.038819549,3.599999905,2.93938756,1.781511148,0.020415643,63.59999847,2.870539904,32.74622626,0.258097864,112,2.097617626,42.97549133,0.276347319,1.200000048,0.400000006,0.390800991,0.09712771,34.59999847,23.19999886,1.301775392,0.272913905,1,1.095445156,39.71638315,0.249741951,3.200000048,1.600000024,1.896267547,0.021106935,2.400000095,1.019803882,1.029446738,0.011872547,4.599999905,3.322649479,1.976465731,0.017333479,0.400000006,0.489897966,12.02632535,0.056929044,2.400000095,1.019803882,10.22843858,0.017842204,0,0,1.842432878,0.040147777
